chunk_bytes	gpu_batch	iterations	mb_per_s
2048	1	200	37.0
2048	2	200	54.2
2048	3	200	55.3
2048	4	200	57.8
2048	5	200	60.2
2048	6	200	59.6
2048	7	200	59.1
2048	8	200	60.7
